employer,notice_date,effective_date,affected_count,county,worksite,wa_esd_filing_reference,notes
Google LLC,2023-09-13,2023-11-13,180,King,Seattle Fremont,WARN-2023-09-GOOG-002,"Ads + Devices."
Google LLC,2024-04-25,2024-06-24,200,King,Kirkland + Seattle,WARN-2024-04-GOOG-003,"Python team + reorg."
Salesforce Inc,2023-01-04,2023-03-06,250,King,Seattle Salesforce Tower,WARN-2023-01-CRM-001,"From 10% global cut."
Salesforce Inc,2024-01-25,2024-03-26,130,King,Seattle,WARN-2024-01-CRM-002,"Smaller follow-on."
Expedia Group Inc,2024-02-26,2024-04-26,700,King,Seattle Interbay + Bellevue,WARN-2024-02-EXPE-001,"1,500 global cut."
Expedia Group Inc,2023-02-27,2023-04-28,600,King,Seattle Interbay,WARN-2023-02-EXPE-002,"Earlier 2023 cut."
F5 Inc,2023-04-19,2023-06-19,623,King,Seattle downtown HQ,WARN-2023-04-FFIV-001,"9% workforce cut."
F5 Inc,2024-04-15,2024-06-14,150,King,Seattle,WARN-2024-04-FFIV-002,"Smaller 2024 cut."
Zillow Group Inc,2022-10-31,2022-12-30,300,King,Seattle Russell Investments Center,WARN-2022-10-Z-001,"Zillow Offers wind-down tail."
Zillow Group Inc,2023-10-31,2023-12-30,250,King,Seattle,WARN-2023-10-Z-002,"Reorg."
Redfin Corp,2022-11-09,2023-01-09,452,King,Seattle Pioneer Square,WARN-2022-11-RDFN-001,"13% cut."
Redfin Corp,2023-11-15,2024-01-15,200,King,Seattle,WARN-2023-11-RDFN-002,"Add'l reorg."
DocuSign Inc,2024-02-22,2024-04-22,150,King,Seattle Columbia Center,WARN-2024-02-DOCU-001,"6% global cut."
Smartsheet Inc,2023-05-19,2023-07-19,100,King,Bellevue,WARN-2023-05-SMAR-001,"3% cut."
SAP Concur,2024-01-25,2024-03-26,200,King,Bellevue Eastgate,WARN-2024-01-SAP-001,"SAP global restructuring."
Stripe Inc,2022-11-03,2023-01-03,150,King,Seattle SLU,WARN-2022-11-STRIPE-001,"14% cut."
Snowflake Inc,2024-02-27,2024-04-26,50,King,Seattle SLU,WARN-2024-02-SNOW-001,"Small reorg."
Cisco Systems Inc,2024-02-14,2024-04-15,180,King,Seattle + Bellevue,WARN-2024-02-CSCO-001,"4k global cut."
Cisco Systems Inc,2024-08-14,2024-10-14,250,King,Seattle + Bellevue,WARN-2024-08-CSCO-002,"7% global cut."
Boeing Co,2024-11-08,2025-01-17,2199,Snohomish,Everett + Mukilteo,WARN-2024-11-BA-001,"10% global cut announced Oct-2024 after IAM 751 strike resolution; 2,199 WA WARN concentrated Everett widebody."
Boeing Co,2024-11-08,2025-01-17,1031,King,Renton + Auburn + Tukwila,WARN-2024-11-BA-002,"Same 10% global cut; King-county sites."
Boeing Co,2025-04-15,2025-06-15,400,Snohomish,Everett,WARN-2025-04-BA-001,"Follow-on widebody slowdown."
Starbucks Corp,2025-02-24,2025-04-25,1100,King,Seattle Support Center SODO,WARN-2025-02-SBUX-001,"Brian Niccol restructuring; HQ corporate cut; not retail-store."
Convoy Inc,2023-10-19,2023-10-19,500,King,Seattle SLU,WARN-2023-10-CONVOY-001,"Company shutdown Oct-2023; immediate effective; no 60-day notice."
Karat Inc,2024-03-04,2024-05-03,80,King,Seattle,WARN-2024-03-KARAT-001,"Technical interview-as-a-service company."
Outreach Corporation,2024-08-21,2024-10-21,180,King,Seattle SLU,WARN-2024-08-OUT-001,"Sales engagement platform; ~30% cut."
Tableau Software (Salesforce),2023-02-15,2023-04-16,300,King,Seattle Fremont,WARN-2023-02-TABL-001,"Folded into Salesforce; Fremont office reduced."
Highspot Inc,2024-03-15,2024-05-14,140,King,Seattle,WARN-2024-03-HSPT-001,"Sales enablement; reorg."
Indeed Inc,2023-03-22,2023-05-22,180,King,Seattle Pioneer Square,WARN-2023-03-INDEED-001,"15% global cut."
Indeed Inc,2024-05-23,2024-07-22,180,King,Seattle,WARN-2024-05-INDEED-002,"Add'l 8%."
Twilio Inc,2022-09-14,2022-11-14,80,King,Seattle SLU,WARN-2022-09-TWLO-001,"11% cut."
Twilio Inc,2023-02-13,2023-04-15,100,King,Seattle,WARN-2023-02-TWLO-002,"17% cut."
Splunk Inc (Cisco),2024-03-18,2024-05-17,140,King,Seattle,WARN-2024-03-SPLK-001,"Post-Cisco-acquisition integration."
GitHub Inc (Microsoft),2023-02-08,2023-04-09,100,King,Seattle,WARN-2023-02-GH-001,"10% cut as part of MSFT broader."
Avalara Inc,2024-03-19,2024-05-18,120,King,Seattle,WARN-2024-03-AVLR-001,"Vista PE buyout integration."
Tesla Inc,2024-04-18,2024-06-17,300,King;Snohomish,"Seattle + Bellevue + Lynnwood + Renton service/sales/delivery",WARN-2024-04-TSLA-001,"10% global cut; WA sites mostly sales/service not engineering."
The Pokemon Company International,2024-12-12,2025-02-10,80,King,Bellevue,WARN-2024-12-POKE-001,"Small restructuring."
Big Fish Games,2023-03-30,2023-05-30,180,King,Seattle,WARN-2023-03-BFG-001,"Aristocrat-owned games studio."
Bungie Inc,2023-10-30,2023-12-29,100,King,Bellevue,WARN-2023-10-BNG-001,"Destiny 2 reorg."
Bungie Inc,2024-07-31,2024-09-30,220,King,Bellevue,WARN-2024-07-BNG-002,"17% cut + studio-to-Sony absorbing 155 staff."
ArenaNet (NCsoft),2024-02-15,2024-04-16,80,King,Bellevue,WARN-2024-02-ARENA-001,"Guild Wars studio cut."
Funko Inc,2023-10-30,2023-12-29,180,Snohomish,Everett HQ,WARN-2023-10-FNKO-001,"HQ Everett; pop-collectibles company."
Crystal Mountain Resort,2024-04-15,2024-04-15,80,King,Greenwater (Pierce 98022 boundary),WARN-2024-04-CMR-001,"Seasonal closure; out-of-scope for tech analysis."
Premera Blue Cross,2023-07-12,2023-09-12,120,Snohomish,Mountlake Terrace HQ,WARN-2023-07-PREM-001,"Operations consolidation."
Nordstrom Inc,2024-08-15,2024-10-14,180,King,Seattle HQ + retail-tech,WARN-2024-08-JWN-001,"Pre-take-private restructuring."
Adobe Inc,,,,,,,"No Seattle WARN filings 2022-2025 - hiring growth period."
Apple Inc,2023-08-31,2023-10-30,121,King,Seattle + Bellevue retail/services,WARN-2023-08-AAPL-001,"Retail+services restructuring; engineering unaffected."
Oracle Corp,2024-01-25,2024-03-26,200,King,Bellevue,WARN-2024-01-ORCL-001,"Health-sciences vertical cut."
ServiceNow Inc,2024-08-22,2024-10-21,30,King,Bellevue,WARN-2024-08-NOW-001,"Small product team reorg."
Nvidia Corp,,,,,,,"No Seattle WARN filings 2022-2025 - hiring growth period."
OpenAI,,,,,,,"No WARN filings."
Anthropic PBC,,,,,,,"No WARN filings."
Databricks Inc,,,,,,,"No WARN filings."
PACCAR Inc,2024-12-15,2025-02-13,140,King,Renton Kenworth plant,WARN-2024-12-PCAR-001,"Class 8 truck demand softness; production cut."
Alaska Airlines,2024-09-13,2024-11-12,140,King,SeaTac HQ,WARN-2024-09-ALK-001,"Hawaiian merger integration overlap roles."
