employer_name,headcount_2019,headcount_2021,headcount_2023,headcount_2025,cumulative_layoffs_2022_2025,largest_layoff_event_date,largest_layoff_event_count,rto_posture_2026,primary_worksite_zips,h1b_approvals_fy2022,h1b_approvals_fy2023,h1b_approvals_fy2024,lca_median_wage_fy2024,notes
Expedia Group,3500,5500,4200,3800,1900,2024-02-26,1500,hybrid-3,98033,365,251,318,184000,"Seattle Interbay HQ (until 2024) + Bellevue tech HQ post-move (Kirkland 98033 partially; main move was Interbay to Bellevue). Feb-2024 cut 1,500 worldwide (~700 WA WARN). 2023 ~600 WA. 3-day RTO posture."
Zillow Group,2800,5800,5200,4800,1000,2022-10-31,600,hybrid-2,98101,182,121,164,162000,"Seattle Russell Investments Center downtown. Oct-2022 cut 300 WA WARN after Zillow Offers exit (Nov-2021 ~2k global but most reorged in 2022). Cloud-HQ remote-first posture (return to 2-day for tech roles 2024)."
Redfin Corp,1700,2400,2000,1500,800,2022-11-09,452,hybrid-2,98101,89,52,67,148000,"Seattle Pioneer Square / Downtown. Nov-2022 13% cut + Nov-2023 800 add'l; Mar-2024 brokerage agent cuts. 2-day in-office posture. Rocket Companies acquisition closed Jul-2025 (post-close integration cuts pending)."
DocuSign Inc,800,1200,1100,900,200,2024-02-22,440,hybrid-3,98101,98,67,72,168000,"Seattle Columbia Center downtown. Feb-2024 cut 6% (~150 WA WARN); smaller subsequent. 3-day in-office."
Smartsheet Inc,1400,2300,2700,2400,250,2023-05-19,150,hybrid-3,98004,142,109,164,162000,"Bellevue HQ (10500 NE 8th St). May-2023 cut 100 WA WARN. Private-equity buyout by Vista/Blackstone closed Mar-2025. 3-day in-office."
SAP Concur (SAP SE),3500,3200,2800,2300,300,2024-01-25,200,hybrid-3,98008,201,144,179,175000,"Bellevue Eastgate (formerly Concur Technologies HQ; now SAP). Slow attrition; Jan-2024 SAP global restructuring ~200 WA. 3-day in-office."
Adobe Inc,400,750,900,1000,0,,0,hybrid-3,98101;98004,224,159,206,209000,"Seattle SLU + Bellevue engineering. Steady growth; no significant layoffs. 3-day in-office."
Stripe Inc,150,650,500,600,300,2022-11-03,250,hybrid-3,98121,89,42,67,234000,"Seattle SLU office. Nov-2022 cut 14% (~150 WA WARN); 2024 ~100 add'l. 3-day in-office (Stripe announced full RTO Feb 2025 but Seattle remains hybrid for many roles)."
OpenAI (Seattle),0,0,15,80,0,,0,hybrid-3,98101,0,3,18,242000,"Seattle office opened mid-2023 (south Lake Union); small but growing applied science team. Office launched Jun-2023; ~80 by end 2025. No layoffs. 3-day in-office. H-1B from USCIS LCA filings (small base)."
Anthropic PBC,0,0,20,150,0,,0,hybrid-3,98104,0,5,32,278000,"Seattle downtown office opened 2024 (Westlake area + research); rapid growth from sub-10 to ~150 by end-2025. 3-day in-office. Founded Bay Area; Seattle is a second engineering hub. H-1B approvals trajectory steep."
Snowflake Inc,200,500,700,800,50,2024-02-27,50,hybrid-2,98101,123,89,134,224000,"Seattle SLU regional engineering hub. Feb-2024 small cut ~50 WA. 2-day in-office. Heavy LCA filing volume for cloud/data engineering roles."
Databricks Inc,80,250,500,750,0,,0,hybrid-2,98109,98,134,201,231000,"Seattle SLU regional engineering hub (333 Dexter area). No public layoffs. 2-day in-office. Private (last 2023 round $43B valuation). H-1B approvals scaling rapidly."
ServiceNow Inc,150,400,550,700,30,,30,hybrid-3,98007,108,87,124,201000,"Bellevue + Kirkland regional engineering. Small WA cuts only. 3-day in-office."
Cisco Systems Inc,1200,1500,1700,1500,400,2024-02-14,180,hybrid-2,98101;98008,389,267,341,179000,"Seattle + Bellevue Webex + security engineering. Feb-2024 cut 4,000 global (~180 WA); Aug-2024 7% global (~250 WA). 2-day in-office."
