county,origin_country,fy2020,fy2021,fy2022,fy2023,fy2024,primary_resettlement_agency,language_primary,allocation_method
Snohomish,Iran,2,6,10,17,36,JFS Seattle,Farsi/Dari,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Iraq,14,27,39,64,134,IRC Seattle / JFS Seattle,Arabic/Kurdish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Iraq,4,7,10,16,33,IRC Seattle / JFS Seattle,Arabic/Kurdish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Kazakhstan,4,4,4,5,10,World Relief WW,Russian,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Kazakhstan,7,5,5,7,15,World Relief WW,Russian,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Kyrgyzstan,0,0,6,14,30,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Kyrgyzstan,0,0,10,22,45,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Lebanon,1,0,0,0,0,IRC Seattle,Arabic,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Lebanon,0,0,0,0,0,IRC Seattle,Arabic,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Lithuania,0,0,2,3,6,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Lithuania,0,0,0,1,2,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Mali,1,0,0,0,0,IRC Seattle,French/Bambara,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Mali,0,0,0,0,0,IRC Seattle,French/Bambara,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Moldova,53,8,26,50,105,World Relief WW,Russian/Romanian,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Moldova,80,13,38,76,158,World Relief WW,Russian/Romanian,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Nicaragua,0,0,1,2,3,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Nicaragua,0,0,0,0,1,IRC Seattle,Spanish,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Pakistan,0,2,2,5,10,IRC Seattle,Urdu,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Pakistan,0,0,1,1,3,IRC Seattle,Urdu,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Palestine,0,0,0,1,2,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Palestine,0,0,0,0,0,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Republic of Sou,0,0,10,23,49,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Republic of Sou,0,0,3,6,12,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Russia,33,3,13,27,57,World Relief WW,Russian,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Russia,49,5,20,41,85,World Relief WW,Russian,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Senegal,1,0,2,4,8,IRC Seattle,French/Wolof,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Senegal,0,0,0,1,2,IRC Seattle,French/Wolof,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Somalia,8,6,29,59,124,IRC Seattle,Somali,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Somalia,2,2,7,15,31,IRC Seattle,Somali,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Sudan,1,15,16,22,45,IRC Seattle,Arabic,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Sudan,0,4,4,5,11,IRC Seattle,Arabic,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Syria,3,30,139,291,609,IRC Seattle / JFS Seattle,Arabic,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Syria,1,7,35,73,152,IRC Seattle / JFS Seattle,Arabic,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Tajikistan,0,0,1,2,3,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Tajikistan,0,0,1,2,5,IRC Seattle,# TODO: language map,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Tunisia,1,0,0,0,0,IRC Seattle,Arabic,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Tunisia,0,0,0,0,0,IRC Seattle,Arabic,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
King,Uganda,0,2,1,1,2,IRC Seattle,English/Luganda,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
Snohomish,Uganda,0,0,0,0,0,IRC Seattle,English/Luganda,"TRIANGULATED: WA state total (RPC/WRAPS) split by per-nationality agency-footprint heuristic (Slavic 60% Snohomish, Afghan 85% King, Burmese 90% King, other 80% King); modeled fiscal years: FY2022,FY2024 (FY22 from mean of FY21+FY23 scaled to WA total 1220; FY24 from FY23 mix scaled to WA total 4876)"
