zcta,county,h1b_workers_est,l1_workers_est,opt_students_est,f1_students_est,total_visa_est,total_visa_renter_est,data_method
98050,King,0,0,0,0,0,0,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98051,King,17,1,3,11,32,30,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98052,King,3780,291,606,966,5643,5361,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98053,King,233,18,37,62,350,332,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98055,King,478,37,77,234,826,785,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98056,King,838,64,134,363,1399,1329,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98057,King,456,35,73,259,823,782,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98058,King,498,38,80,230,846,804,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98059,King,477,37,76,180,770,732,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98065,King,150,12,24,45,231,219,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98070,King,124,10,20,46,200,190,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98072,King,493,38,79,139,749,712,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98074,King,363,28,58,87,536,509,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98075,King,203,16,32,50,301,286,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98077,King,75,6,12,23,116,110,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98087,Snohomish,496,38,79,724,1337,1270,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98092,King,443,34,71,239,787,748,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98101,King,1935,149,310,520,2914,2768,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98102,King,2833,218,454,689,4194,3984,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98103,King,3176,244,509,785,4714,4478,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98104,King,1077,83,173,456,1789,1700,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98105,King,2685,207,430,665,3987,3788,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98106,King,621,48,99,264,1032,980,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98107,King,2045,157,328,513,3043,2891,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98108,King,390,30,62,202,684,650,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98109,King,3624,279,581,887,5371,5102,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98112,King,993,76,159,235,1463,1390,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98115,King,2141,165,343,522,3171,3012,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98116,King,1227,94,197,340,1858,1765,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98117,King,919,71,147,235,1372,1303,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98118,King,1112,86,178,434,1810,1720,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98119,King,1727,133,277,462,2599,2469,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98121,King,2309,178,370,567,3424,3253,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98122,King,3423,263,549,915,5150,4892,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98125,King,1905,147,305,601,2958,2810,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98126,King,683,53,109,218,1063,1010,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98133,King,1727,133,277,647,2784,2645,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98134,King,10,1,2,8,21,20,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98136,King,546,42,87,156,831,789,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98144,King,1515,117,243,464,2339,2222,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98146,King,373,29,60,192,654,621,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98148,King,163,13,26,110,312,296,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98155,King,633,49,101,216,999,949,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98166,King,396,30,63,166,655,622,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98168,King,403,31,65,321,820,779,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98177,King,209,16,33,59,317,301,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98178,King,346,27,56,183,612,581,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98188,King,497,38,80,359,974,925,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98198,King,598,46,96,363,1103,1048,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98199,King,836,64,134,208,1242,1180,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98201,Snohomish,358,27,57,708,1150,1092,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98203,Snohomish,260,20,42,442,764,726,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98204,Snohomish,430,33,69,1124,1656,1573,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98208,Snohomish,403,31,65,679,1178,1119,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98223,Snohomish,128,10,21,361,520,494,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98224,King,0,0,0,0,0,0,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98241,Snohomish,7,1,1,23,32,30,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98251,Snohomish,8,1,1,28,38,36,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98252,Snohomish,27,2,4,63,96,91,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98256,Snohomish,0,0,0,3,3,3,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98258,Snohomish,210,16,34,376,636,604,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98270,Snohomish,223,17,36,563,839,797,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98271,Snohomish,107,8,17,280,412,391,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98272,Snohomish,98,8,16,198,320,304,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98275,Snohomish,224,17,36,236,513,487,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98288,King,3,0,0,2,5,5,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98290,Snohomish,173,13,28,262,476,452,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
98292,Snohomish,80,6,13,181,280,266,TRIANGULATED-MODELED: USCIS H-1B Data Hub FY2024 + SEVP/IIE F-1 enrollment + DOS L-1 issuance; allocated to ZCTAs by bachelor's-share x renter-household weight (tech visas) and renter-household weight (F-1); 95% renter assumption
