Company Name,Status,Ownership Type,Year Founded,Primary HQ City,County,Service Area (Counties),Sub-Region,Property Types,Targets Small Landlords,Portfolio Size (Units),Principals / Owners,Address,Phone,Website,PM Software,Tenant Portal,Tenant Payment Methods,Mgmt Fee %,Leasing Fee,Renewal Fee,Setup Fee,Maintenance Markup,Application Fee,Accepts Portable Screening,Credit Min,Income Ratio,Associations,Designations,Yelp Rating,Yelp Count,BBB Rating,Follow-up Flag,Notes,
Cascade Management US,Confirmed Independent,Founder-Owned,1990,Seattle,King,King,"Capitol Hill, Seattle",Multifamily,Yes,25,"Tammy Travers, Daniel Travers (MBA UW Foster)",Seattle,,,,,,,,,,,,,,,,,,,,,Zillow Community Pillar; distinct from Portland Cascade Mgmt Inc.,
Emerald Door Property Management,Confirmed Independent,Founder-Owned,,Seattle,King,King,"Seattle, Eastside","SFR, Multifamily",Yes,,Ryan George Dosch (ARM),"5608 17th Ave NW #429, Seattle",,,,,,,,,,,,,,,,ARM,,,A+ (accredited 2022),,Related to Emerald Heights PM at same address,
Full Service Property Management,Confirmed Independent,Local-Indep,,,King,"King, Snohomish",Multi-area,"SFR, Multifamily",Yes,,,"Multi-area: Seattle, Edmonds, Lynnwood, Mukilteo, MI, Kent, Renton, Auburn, Federal Way, Snohomish",,,AppFolio (inferred),,"ACH, Card",,,,,,,,,2.5x (bank bal for 6mo leases),,,,,,,30+ years,
T-Square Properties,Confirmed Independent,Founder-Owned,1996,Mill Creek,Snohomish,"King, Snohomish","Mill Creek, North King, South Snoho","SFR, Multifamily, Commercial",Yes,,,"15522 Main St, Mill Creek, WA",,,,,,,,,,,,,,,"NARPM, IREM, NWMLS, CBA",,,,,,24+ years,
WPI Real Estate,Confirmed Independent,Family-Owned,1972,Seattle,King,King,Seattle,"SFR, Multifamily, Commercial",Yes,1000,,"9500 Roosevelt Way NE #100, Seattle",,,AppFolio,AppFolio EFT autopay,"ACH (EFT autopay), Card",,,,,,,,,,,,,,,,"Bilingual: Mandarin, Cantonese, Taiwanese, Spanish",
Ballard Realty,Confirmed Independent,Family-Owned,1973,Seattle,King,King,"Ballard, Seattle","SFR, Condo, Townhome, Multifamily",Yes,,Third generation family,"Ballard, Seattle",,,,,,,,,,,,,,,,,,,,,Storefront face-to-face service,
Cornell & Associates,Flag-Review,Family-Owned (large),1972,Seattle,King,King,Seattle (multi-neighborhood),"Residential, Commercial",Yes,6000,"J. Blake Cornell (Pres), James Cornell (Owner)","2633 Eastlake Ave E #307, Seattle",,,,,,,,,,,,,,,,,,,,,"Scale check: 6,000 units (large for independent)",
Walls Property Management,Confirmed Independent,Local-Indep,1960,Seattle,King,King,"Ballard, Fremont, Capitol Hill",Multifamily,No,,,"5210 Russell Ave NW #100, Seattle",,,,,,,,,,,,,,,,,,,,,Multifamily Seattle since 1960s,
Gallagher Properties,Confirmed Independent,Local-Indep,,Seattle,King,King,Seattle,"SFR, Multifamily, HOA",Yes,,,"1521 NW 54th St, Seattle",,,Buildium,managebuilding.com,"ACH ($0.50), Card (2.95%)",,,,,,,,,,,,,,,,50+ years; family-style,
Dave Poletti & Associates,Confirmed Independent,Founder-Owned,1992,Seattle,King,King,Seattle,"SFR, Condo, Multifamily",Yes,,Dave Poletti (President),"1455 NW Leery Way #440, Seattle",,,,,,,,,,,,,,,,CRMC,,,A+ (accredited 2007),,33 years,
Madrona Real Estate,Confirmed Independent,Founder-Owned,,Seattle,King,King,"Capitol Hill, Shoreline","HOA, Retail, Residential, Vacation",Mixed,,Brad Augustine,"1320 E Pike St, Seattle (+ Shoreline)",,,Argus Financial Software,,,,,,,,,,,,,,,,,,Also San Juan Islands vacation,
Pacific Crest Real Estate,Confirmed Independent,Founder-Owned,2003,Seattle,King,King,"Seattle, Eastside, South King",Multifamily,Yes,,,"200 1st Ave W #520, Seattle 98119",,,,,,,,,,,,,,,,,,53,,,,
Seattle Property Management Associates (SPMA),Confirmed Independent,Founder-Owned,1979,Seattle,King,King,Seattle,"Multifamily, Commercial",Yes,,"Richard L. Kemp (Principal), Gudrun K. Snyder (Designated Broker)",Seattle,,,AppFolio,AppFolio,"ACH, Card",,,,,,,,,,,,,,,,,
Seattle's Property Management,Confirmed Independent,Local-Indep,,Seattle,King,King,Seattle,"SFR, Condo, Small Multifamily",Yes,,,Seattle,,,AppFolio,appfolio.com,"ACH, Card",,,,,,,,,,"NARPM, IREM",,,,A+,,25+ years,
GPS Renting,Confirmed Independent,Founder-Owned,,Bellevue,King,King,Eastside,SFR,Yes,,Bryant Lu (Broker since 2014),Bellevue area,,,AppFolio,AppFolio,"ACH, Card, Apple Pay","10% (subscription, no leasing fee)",$0 (subscription),,,,,,,,,,,,,,"Multilingual: Mandarin, Cantonese, English; 48hr comms credit; 60-day cancellation",
Sagareus Property Management,Confirmed Independent,Local-Indep,,,King,"King, Pierce, Snohomish, Kitsap","Greater Seattle, Eastside, South Sound, North Sound, Kitsap","SFR, Multifamily",Yes,,,Greater Seattle,,,,,,,,,,,,,650,2.5-3.0x,,,,,,,Multi-level AI-assisted screening; First-in-Time + Fair Chance compliant,
Icon Real Estate Services,Confirmed Independent,Founder-Owned,2015,Bellevue,King,"King, Snohomish, Pierce, Grays Harbor, Kitsap","Eastside, Seattle, South Sound, Snoho",Multifamily,Yes,,,"10900 NE 4th St, Bellevue 98004",,,,,,,,,,,,No,,,,,,,,,Boutique multifamily,
Davis Property Management,Confirmed Independent,Local-Indep,,Bellevue,King,King,"Bellevue, Seattle, Puget Sound","SFR, Condo, Townhome, Multifamily, Retail, Industrial, Commercial",Yes,,,Bellevue / Seattle,(206) 999-3023,,AppFolio (inferred),,"ACH, Card",,,,,,,,,,,,,,,,Locally rooted,
206 Property Management,Confirmed Independent,Family-Owned,,Seattle,King,King,Seattle (Wallingford boutique),"SFR, Small Multifamily, Studios-Triplex",Yes,,,Seattle,,,,,,,,,,,,No,,,,,,,,,1901 N 45th 40-unit boutique,
Haven Property Management,Confirmed Independent,Family-Owned,2015,Federal Way,King,King,"Federal Way, South King",SFR,Yes,,"James A. Hernandez, Savannah Hernandez, Richard Hernandez","33600 6th Ave S #220, Federal Way 98003",(253) 214-7441,havenpropertymanagement.com,AppFolio (inferred),,"ACH, Card",8%,"100% (min $2,000); FSM 75% (min $1,200)",$0,$0,0% (no markup),,,,,,,3,,,Mixed reviews,131 Yelp / 257 Birdeye; mixed reviews on move-out charges,
Wilson Management,Confirmed Independent,Founder-Owned,,,King,"King, Snohomish","Eastside, South King, South Snoho","SFR, Multifamily",Yes,,"Gary, Maria",Multi-county,,,,,,,,,,,,,,,,,,,,,40+ years,
MacPherson's Real Estate,Confirmed Independent,Local-Indep,,,King,"King, Snohomish","North King, South Snoho, North Snoho","SFR, Multifamily",Yes,,,Multi-city WA,,,,,,,,,,,,,,,,,,,,,,
Anchor Agency,Confirmed Independent,Founder-Owned,2020,Renton,King,King,"Renton, Seattle","SFR, Multifamily, Commercial",Yes,3650,"Bayley Le, Gelly Lirio",Renton/Seattle,,,,,,,,,,,,,,,,,,,,,"Newer firm; 3,650 combined historical units",
Seattle Rental Group,Confirmed Independent,Local-Indep,,Seattle,King,King,Seattle,"SFR, Multifamily",Yes,,,"2107 Elliott Ave #206, Seattle",,,Intellirent (screening),,,,,,,,$48,No,,,,,,,,,20+ years; zero-evictions claim,
Delta Property Management,Confirmed Independent,Founder-Owned,1990,Marysville,Snohomish,Snohomish,"Marysville, Lake Stevens, Everett","SFR, Multifamily",Yes,,,Marysville,,,,,,,,,,,,,,,,,,,,,Snohomish County specialty,
Lifestyle Homes PM,Confirmed Independent,Local-Indep,,Mill Creek,Snohomish,"King, Snohomish, Skagit","Mill Creek, North",SFR,Yes,,,"15522 Main St, Mill Creek (same bldg as T-Square)",,,,,,,,,,,,,,,,,,,,,,
Infinity Properties International,Confirmed Independent,Local-Indep,,Arlington,Snohomish,Snohomish,"Arlington, Marysville, Stanwood, Lake Stevens","SFR, Multifamily",Yes,,,"Downtown Arlington, WA",,,,,,,,,,,,,,,,,,,,,15+ years; 40+ pt biannual inspection,
Northwest Property Management Group,Confirmed Independent,Local-Indep,,,Snohomish,Snohomish,Snohomish,"SFR, Multifamily",Yes,,,Snohomish County,,,,,,,,,,,,,,,,,,,,,27+ years,
Real Estate Gladiators,Confirmed Independent,Boutique,,Monroe,Snohomish,"King, Snohomish","Monroe, Eastside",SFR,Yes,,,"Monroe, WA",,,,,,,,,,,,,,,,,,,,,Boutique,
Morgan Real Estate Management,Confirmed Independent,Local-Indep (Women-led),2014,,King,"King, Snohomish, Whatcom","South King, South Snoho, Bellingham","SFR, Multifamily",Yes,,,Multi-county,,,,,,,,,,,,,,,,,,,,Accredited,,30-day lease guarantee; Zillow Premier
Blanton Turner,Flag-Review,Institutional Origin,2011,Seattle,King,"King, Snohomish, Pierce, OR","PNW, Seattle Metro","Multifamily, Student Housing",No,,,Seattle,,,,,,,,,,,,,,,,,,,,Likely institutional,Originated from Seattle development firm,
People's Real Estate,Confirmed Independent,Family-Owned,,Auburn,King,King,South King,"SFR, Condo, Townhome, Community Assoc, Small Commercial",Yes,,,"206 Auburn Way N, Auburn 98002",(253) 236-3552,,,,,,,,,,,,,,,,,,,,,
Acres Property Management,Flag-Review,Unknown,,Kent,King,King,South King,"SFR, Multifamily",Yes,,,Kent area,,,,,,,,,,,,,,,,,,,,Ownership uncertain post mgmt-transition,Disputed transition in tenant reviews,
Next Brick,Confirmed Independent,Founder-Owned,,Seattle,King,King,Seattle,"SFR, Multifamily",Yes,,,Seattle,,,,,"ACH, Card",,"50% (min $1,500)",$250 flat,$0,0% (no markup),,,,,,,,,,,No long-term contracts; transparent pricing,
Maple Leaf Property Management,Confirmed Independent,Local-Indep,,Seattle,King,King,"Seattle, Eastside, South King","SFR, Condo, Multi-plex, Multifamily, Apartments, Commercial",Yes,,,Seattle,,,,,,,,,,,,,,,,,,,,,,
Epic Asset Management,Flag-Review,Unknown,,Seattle,King,King,Seattle Metro,Multifamily,Mixed,,,Seattle Metro,,,,,,,,,,,,,,,,,,,,Manages own + third-party; ownership unclear,,
Powell Property Management,Flag-Review,Unknown,,Seattle,King,King,Seattle,"SFR, Multifamily",Yes,,,Seattle area,,,,,,,,,,,,,,,,,,,,Independent status not confirmed,Tenant-screening guidance published,
Avenue One Residential,Confirmed Independent,Founder-Owned,,,King,"King, Snohomish",Greater Seattle,"SFR, Multifamily",Yes,,,Greater Seattle,,,,,,,,,,,,,,,,,,,,,Lease + mgmt only (no sales); 100+ yrs combined claim,
Windermere Property Management NW,Independent Franchise,Indep Franchise (Windermere),,Everett,Snohomish,"Snohomish, King","Everett, Edmonds, Lynnwood, MLT, North King","SFR, Multifamily, Commercial, New Construction",Yes,,,"7003 Evergreen Way Suite A, Everett",,,,,,,,,,,,,,,,,,,,Independence varies by Windermere office,DBA of Windermere Real Estate / Realty Brokerage Inc.,
JMW Group (Windermere PM),Independent Franchise,Indep Franchise (Windermere),,Seattle,King,"King, Pierce, Snohomish","Seattle, Kirkland, Puyallup","SFR, Multifamily",Yes,,,Seattle / Puyallup / Kirkland,,,,,,,,,,,,,,,,,,,,,Independent Windermere franchise,
Coast Property Management,Flag-Review,Unknown,,,Snohomish,"King, Snohomish",Multi,Large Multifamily,No,,,,,,,,,,,,,,,,,,,,,,,Ownership not confirmed,30+ years; large multifamily focus,
Wallace Properties,Flag-Review,Family-Owned (multigen),,Bellevue,King,King,Eastside,Commercial,No,,,Bellevue,,,,,,,,,,,,,,,,,,,,Commercial-focused,Multi-generational family-owned,
